ID,year,month,week,usa,after,sales
5,2012,1,3,1,1,85745.93333
5,2012,1,4,1,1,69388.66667
5,2012,1,5,1,1,53849.7
5,2012,1,6,1,1,67208.2
5,2012,2,7,1,1,58203.8
5,2012,2,8,1,1,55365.2
5,2012,2,9,1,1,57604.53333
5,2012,2,10,1,1,74341.83333
5,2012,3,11,1,1,117374.3667
5,2012,3,12,1,1,57159.26667
5,2012,3,13,1,1,71757.53333
5,2012,3,14,1,1,104784.7333
5,2012,4,15,1,1,67536.73333
5,2012,4,16,1,1,123224.0333
7,2011,4,16,1,0,70555.93333
7,2011,4,17,1,0,63823.2
7,2011,4,18,1,0,101883.3
7,2011,5,19,1,0,58888.76667
7,2011,5,20,1,0,65137.5
7,2011,5,21,1,0,114556.7
7,2011,5,22,1,0,92309.36667
7,2011,5,23,1,0,110097.9333
7,2011,6,24,1,0,90851.13333
7,2011,6,25,1,0,98944.86667
7,2011,6,26,1,0,92152.8
7,2011,6,27,1,0,62240.83333
7,2011,7,28,1,0,65293.5
7,2011,7,29,1,0,87402.93333
7,2011,7,30,1,0,80565.6
7,2011,7,31,1,0,49373.43333
7,2011,8,32,1,0,54423.53333
7,2011,8,33,1,0,60237.73333
7,2011,8,34,1,0,54742.06667
7,2011,8,35,1,0,69933.26667
7,2011,8,36,1,0,72678.96667
7,2011,9,37,1,0,67117.9
7,2011,9,38,1,0,73328.93333
7,2011,9,39,1,0,93081.46667
7,2011,9,40,1,0,93226.53333
7,2011,10,41,1,0,99317.33333
7,2011,10,42,1,0,178044.5333
7,2011,10,43,1,1,55930.76667
7,2011,10,44,1,1,71131.03333
7,2011,10,45,1,1,47106.43333
7,2011,11,46,1,1,103998.5333
7,2011,11,47,1,1,81184.76667
7,2011,11,48,1,1,63365.43333
7,2011,11,49,1,1,97494.76667
7,2011,12,50,1,1,93646.33333
7,2011,12,51,1,1,109794.1
7,2011,12,52,1,1,76161.6
7,2011,12,53,1,1,90558.13333
7,2012,1,1,1,1,38417.23333
7,2012,1,2,1,1,42597.66667
7,2012,1,3,1,1,42177.7
7,2012,1,4,1,1,42502.4
7,2012,1,5,1,1,70515.66667
7,2012,1,6,1,1,56940.26667
7,2012,2,7,1,1,49120.56667
7,2012,2,8,1,1,49642.16667
7,2012,2,9,1,1,51178.33333
7,2012,2,10,1,1,62164.83333
7,2012,3,11,1,1,48636.9
7,2012,3,12,1,1,70821.76667
7,2012,3,13,1,1,94357.66667
7,2012,3,14,1,1,61115.13333
7,2012,4,15,1,1,48325.5
7,2012,4,16,1,1,53614.6
9,2011,4,16,1,0,91608.03333
9,2011,4,17,1,0,68181.66667
9,2011,4,18,1,0,105259.1667
9,2011,5,19,1,0,98662.1
9,2011,5,20,1,0,95926.16667
9,2011,5,21,1,0,79672
9,2011,5,22,1,0,125919.0333
9,2011,5,23,1,0,86499.56667
9,2011,6,24,1,0,88248.53333
9,2011,6,25,1,0,101717
9,2011,6,26,1,0,77268.63333
9,2011,6,27,1,0,130443.7667
9,2011,7,28,1,0,70699.33333
9,2011,7,29,1,0,82389.13333
9,2011,7,30,1,0,96569.5
9,2011,7,31,1,0,72840.06667
9,2011,8,32,1,0,85715.6
9,2011,8,33,1,0,71722
9,2011,8,34,1,0,129118.1
9,2011,8,35,1,0,91332.66667
9,2011,8,36,1,0,61400.7
9,2011,9,37,1,0,125146.8667
9,2011,9,38,1,0,134582.5667
9,2011,9,39,1,0,90772.3
9,2011,9,40,1,0,147170.0667
9,2011,10,41,1,0,93194.96667
9,2011,10,42,1,0,145461
9,2011,10,43,1,1,101218.2667
9,2011,10,44,1,1,81882.33333
9,2011,10,45,1,1,97510.4
9,2011,11,46,1,1,83584.13333
9,2011,11,47,1,1,113839.8667
9,2011,11,48,1,1,131926.9
9,2011,11,49,1,1,123678.4667
9,2011,12,50,1,1,89873.13333
9,2011,12,51,1,1,127542.5333
9,2011,12,52,1,1,176467.8667
9,2011,12,53,1,1,78951.56667
9,2012,1,1,1,1,47408.16667
9,2012,1,2,1,1,95678
9,2012,1,3,1,1,79664.2
9,2012,1,4,1,1,78769.86667
9,2012,1,5,1,1,70094.06667
9,2012,1,6,1,1,82121.3
9,2012,2,7,1,1,82082.06667
9,2012,2,8,1,1,100084.9333
9,2012,2,9,1,1,68337.5
9,2012,2,10,1,1,125623.7333
9,2012,3,11,1,1,63932.43333
9,2012,3,12,1,1,61489.13333
9,2012,3,13,1,1,66291.16667
9,2012,3,14,1,1,171968.6667
9,2012,4,15,1,1,96075.2
9,2012,4,16,1,1,121805.6
11,2011,4,16,1,0,44623.96667
11,2011,4,17,1,0,47440.73333
11,2011,4,18,1,0,63296.73333
11,2011,5,19,1,0,45343.33333
11,2011,5,20,1,0,85340.23333
11,2011,5,21,1,0,60501.1
11,2011,5,22,1,0,48243.33333
11,2011,5,23,1,0,86664.7
11,2011,6,24,1,0,72372.76667
11,2011,6,25,1,0,71667.8
11,2011,6,26,1,0,74545.46667
11,2011,6,27,1,0,40688.06667
11,2011,7,28,1,0,52622.93333
11,2011,7,29,1,0,55941.93333
11,2011,7,30,1,0,52836.8
11,2011,7,31,1,0,51685.43333
11,2011,8,32,1,0,54581.6
11,2011,8,33,1,0,59778.66667
11,2011,8,34,1,0,39629.06667
11,2011,8,35,1,0,24916.31667
11,2011,8,36,1,0,72878.83333
11,2011,9,37,1,0,100300.0333
11,2011,9,38,1,0,74077.73333
11,2011,9,39,1,0,66476.73333
11,2011,9,40,1,0,55540.2
11,2011,10,41,1,0,110847.8667
11,2011,10,42,1,0,113111.9
11,2011,10,43,1,1,86246.03333
11,2011,10,44,1,1,66038.26667
11,2011,10,45,1,1,57674.06667
11,2011,11,46,1,1,89706.06667
11,2011,11,47,1,1,83281.4
11,2011,11,48,1,1,66048.33333
11,2011,11,49,1,1,58473.53333
11,2011,12,50,1,1,48965.5
11,2011,12,51,1,1,70273.1
11,2011,12,52,1,1,72043.73333
11,2011,12,53,1,1,79868.73333
11,2012,1,1,1,1,19180.62
11,2012,1,2,1,1,46578.5
11,2012,1,3,1,1,46951.46667
11,2012,1,4,1,1,60016.7
11,2012,1,5,1,1,38674.03333
11,2012,1,6,1,1,54311.03333
11,2012,2,7,1,1,41889.96667
11,2012,2,8,1,1,54204.36667
11,2012,2,9,1,1,50453.73333
11,2012,2,10,1,1,47947.33333
11,2012,3,11,1,1,49256.33333
11,2012,3,12,1,1,44408.23333
11,2012,3,13,1,1,52455.73333
11,2012,3,14,1,1,61060.33333
11,2012,4,15,1,1,53380.2
11,2012,4,16,1,1,70827.36667
13,2011,4,16,1,0,32907.04667
13,2011,4,17,1,0,38770.3
13,2011,4,18,1,0,64779.93333
13,2011,5,19,1,0,68356.4
13,2011,5,20,1,0,77127.66667
13,2011,5,21,1,0,54723.2
13,2011,5,22,1,0,37766.56667
13,2011,5,23,1,0,59063.16667
13,2011,6,24,1,0,45949.2
13,2011,6,25,1,0,71242.23333
13,2011,6,26,1,0,84477.5
13,2011,6,27,1,0,32767.81667
13,2011,7,28,1,0,49953.46667
13,2011,7,29,1,0,42148.06667
13,2011,7,30,1,0,37263.36667
13,2011,7,31,1,0,35878.8
13,2011,8,32,1,0,28308.43333
13,2011,8,33,1,0,71064.56667
13,2011,8,34,1,0,45062.1
13,2011,8,35,1,0,38931.1
13,2011,8,36,1,0,52232.73333
13,2011,9,37,1,0,86666.86667
13,2011,9,38,1,0,64923.8
13,2011,9,39,1,0,50921.36667
13,2011,9,40,1,0,58949.33333
13,2011,10,41,1,0,53954.1
13,2011,10,42,1,0,81832.76667
13,2011,10,43,1,1,40945.7
13,2011,10,44,1,1,65686.46667
13,2011,10,45,1,1,45232.3
13,2011,11,46,1,1,44064.43333
13,2011,11,47,1,1,71520.8
13,2011,11,48,1,1,76748.16667
13,2011,11,49,1,1,73929.3
13,2011,12,50,1,1,59226.63333
13,2011,12,51,1,1,59660.2
13,2011,12,52,1,1,56626.46667
13,2011,12,53,1,1,54755.9
13,2012,1,1,1,1,14513.13
13,2012,1,2,1,1,41070.93333
13,2012,1,3,1,1,49297.63333
13,2012,1,4,1,1,47693.66667
13,2012,1,5,1,1,25297.25333
13,2012,1,6,1,1,35558.73333
